fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000002059	10.56589	6.52989	FALSE	Rab34
ENSMUSG00000002064	16.5204	40.0668	FALSE	Sdf2
ENSMUSG00000002068	4.68814	4.59411	FALSE	Ccne1
ENSMUSG00000002076	1	1	FALSE	Hsf2bp
ENSMUSG00000002083	2.80947	1.492118	FALSE	Bbc3
ENSMUSG00000002100	1	1.183255	FALSE	Mybpc3
ENSMUSG00000002102	64.6968	69.6139	FALSE	Psmc3
ENSMUSG00000002103	28.9469	27.934	FALSE	Acp2
ENSMUSG00000002104	1	1	FALSE	Rapsn
ENSMUSG00000002105	12.7903	11.5009	FALSE	Slc39a13
ENSMUSG00000002107	270.213	128.164	FALSE	Celf2
ENSMUSG00000002108	1	1.934502	FALSE	Nr1h3
ENSMUSG00000002109	15.5611	22.3648	FALSE	Ddb2
ENSMUSG00000002111	1	1	FALSE	Sfpi1
ENSMUSG00000002129	15.4749	12.7047	FALSE	Sf3a1
ENSMUSG00000002147	1.438091	2.7026	FALSE	Stat6
ENSMUSG00000002190	2.8653	5.37118	FALSE	Clgn
ENSMUSG00000002204	1.144751	1.036879	FALSE	Napsa
ENSMUSG00000002205	18.1252	5.55448	FALSE	Vrk3
ENSMUSG00000002210	12.8093	7.45907	FALSE	1500002O20Rik
ENSMUSG00000002221	16.2163	14.6988	FALSE	Paxip1
ENSMUSG00000002222	52.9589	14.7157	FALSE	Rmnd5a
ENSMUSG00000002227	2.04028	2.64166	FALSE	Mov10
ENSMUSG00000002228	1.0317089	1.0361609	FALSE	Ppm1j
ENSMUSG00000002233	3.64141	1.0457455	FALSE	Rhoc
ENSMUSG00000002240	1	1	FALSE	4930432K09Rik
ENSMUSG00000002249	1.201847	1	FALSE	Tead3
ENSMUSG00000002250	14.5959	1.868409	FALSE	Ppard
ENSMUSG00000002257	1	1.0294912	FALSE	Def6
ENSMUSG00000002265	73.2403	107.875	FALSE	Peg3
ENSMUSG00000002266	4.04591	1.0615862	FALSE	Zim1
ENSMUSG00000002274	1	1.204564	FALSE	Metrn
ENSMUSG00000002279	5.28604	10.99547	FALSE	Lmf1
ENSMUSG00000002280	1.476308	7.0897	FALSE	Narfl
ENSMUSG00000002289	1	1.816572	FALSE	Angptl4
ENSMUSG00000002290	1.278752	1.0337112	FALSE	Rab11b-ps2
ENSMUSG00000002297	1.842656	1.511583	FALSE	Dbf4
ENSMUSG00000002307	17.9495	17.3138	FALSE	Daxx
ENSMUSG00000002308	7.67006	8.34965	FALSE	Cd320
ENSMUSG00000002319	60.3209	53.1767	FALSE	Ipo4
ENSMUSG00000002320	5.93037	12.7005	FALSE	Tm9sf1
ENSMUSG00000002324	1.14486	1	FALSE	Rec8
ENSMUSG00000002325	5.51469	2.31743	FALSE	Irf9
ENSMUSG00000002326	9.48423	12.5876	FALSE	Gmpr2
